0	2649.000000	2670.000000	2666.000000	2657.000000	2713.000000	2685.000000	2669.000000	2660.000000	2275.000000	
1	2649.000000	2670.000000	2666.000000	2657.000000	2713.000000	2685.000000	2669.000000	2660.000000	2275.000000	
2	2648.003418	2666.013916	2667.993164	2657.000000	2713.000000	2686.993164	2670.993164	2661.993164	2276.993164	
3	2648.994385	2666.994385	2663.027588	2655.010986	2712.005615	2683.022217	2671.994385	2662.000000	2277.994385	
4	2649.992188	2667.000000	2665.976807	2655.000000	2714.976807	2683.000000	2672.000000	2661.007812	2281.969238	
5	2647.030518	2666.010254	2666.000000	2654.010254	2711.040527	2680.030518	2668.040527	2660.010254	2278.040527	
6	2650.949951	2663.037598	2665.012451	2654.000000	2710.012451	2680.987549	2668.000000	2661.975098	2278.000000	
7	2648.045898	2665.954102	2664.015381	2654.984619	2710.984619	2683.954102	2671.938721	2659.045898	2278.000000	
8	2647.018066	2667.963867	2664.981934	2656.963867	2709.036133	2681.054443	2670.036133	2659.981934	2276.036133	
9	2650.914062	2668.978516	2663.042969	2656.021484	2710.957031	2681.000000	2670.000000	2659.021484	2277.957031	
10	2651.000000	2669.000000	2664.950195	2656.000000	2710.024902	2681.000000	2673.900635	2659.975098	2276.049805	
11	2651.000000	2667.056885	2664.028320	2655.028320	2708.056885	2681.000000	2669.142090	2660.000000	2277.943115	
12	2650.031982	2666.031982	2665.935791	2654.031982	2711.871582	2680.031982	2671.903809	2660.968018	2278.000000	
13	2648.072998	2665.036621	2666.000000	2655.927002	2710.072998	2679.036621	2670.072998	2661.000000	2278.000000	
14	2649.917236	2666.917236	2668.875977	2656.958740	2712.875977	2684.751709	2673.834473	2663.875977	2280.875977	
15	2651.906738	2667.953369	2667.093262	2654.139893	2711.093262	2685.000000	2671.139893	2661.139893	2279.093262	
16	2650.104736	2665.156982	2667.000000	2657.790771	2711.947754	2684.052246	2671.947754	2661.000000	2279.000000	
17	2650.000000	2669.703857	2667.940674	2654.236816	2711.059326	2680.236816	2671.059326	2658.177734	2279.940674	
18	2650.933594	2667.199463	2669.866943	2657.733887	2711.000000	2682.800537	2671.933594	2662.667480	2279.066406	
19	2647.295898	2667.000000	2669.073975	2658.926025	2713.778076	2682.073975	2669.221924	2659.295898	2277.147949	
20	2648.837402	2668.837402	2667.162598	2658.081299	2714.000000	2684.756104	2674.511963	2661.756104	2278.837402	
21	2647.177979	2668.088867	2667.000000	2653.444824	2711.266846	2683.177979	2669.533936	2662.000000	2278.088867	
22	2650.613281	2668.000000	2667.903320	2655.709961	2712.806641	2683.903320	2671.709961	2659.290039	2278.903320	
23	2648.313232	2666.208740	2662.626221	2654.208740	2713.000000	2681.313232	2672.895508	2659.000000	2279.895508	
24	2648.888184	2665.111816	2667.328857	2654.888184	2710.335693	2681.000000	2672.111816	2659.888184	2279.111816	
25	2649.000000	2667.640869	2667.119629	2653.239502	2710.880371	2679.239502	2671.119629	2658.239502	2278.119629	
26	2648.127686	2664.510498	2667.872314	2653.872314	2711.872314	2682.489502	2672.744629	2658.872314	2278.872314	
27	2648.864014	2664.864014	2667.135986	2653.135986	2711.135986	2680.407715	2672.135986	2662.456299	2276.407715	
28	2647.287354	2665.000000	2666.143555	2654.712646	2710.143555	2683.425537	2672.000000	2660.430908	2278.569092	
29	2650.395996	2664.150879	2666.849121	2656.697998	2712.547119	2680.604004	2669.452881	2658.302002	2278.150879	
30	2652.684326	2665.684326	2666.157959	2658.684326	2713.000000	2683.368408	2673.210693	2659.684326	2279.684326	
31	2652.164307	2664.328857	2664.328857	2660.671143	2712.164307	2684.835693	2672.328857	2660.000000	2277.493164	
32	2651.170410	2665.658936	2666.488525	2656.022949	2712.829590	2683.341064	2672.829590	2660.829590	2278.658936	
33	2649.353271	2666.823486	2662.883057	2652.529785	2711.353271	2678.883057	2669.706543	2658.529785	2277.353271	
34	2649.817383	2666.182617	2666.087402	2654.452393	2711.817383	2681.270020	2671.452393	2662.087402	2277.817383	
35	2649.188477	2666.811523	2667.000000	2655.811523	2711.188477	2682.000000	2669.565430	2659.753906	2278.000000	
36	2649.805420	2667.000000	2666.194580	2654.389404	2712.610596	2683.610596	2671.416016	2661.416016	2277.194580	
37	2650.000000	2667.798828	2665.201172	2652.402588	2711.402588	2681.603760	2672.000000	2660.402588	2275.402588	
38	2648.415771	2668.000000	2666.584229	2653.584229	2711.000000	2681.000000	2672.000000	2660.000000	2278.960693	
39	2648.785400	2668.000000	2664.643799	2657.141602	2709.429199	2681.000000	2672.785400	2660.000000	2278.429199	
40	2649.779297	2666.441406	2666.337891	2656.441406	2709.000000	2681.779297	2672.220703	2661.558594	2278.000000	
41	2649.226562	2667.546875	2667.773438	2656.000000	2710.546875	2681.226562	2672.000000	2660.453125	2279.546875	
42	2651.303955	2667.231934	2668.000000	2656.000000	2711.000000	2683.303955	2672.000000	2661.535889	2278.464111	
43	2650.474854	2667.762451	2668.000000	2655.237549	2713.287598	2680.949707	2668.949707	2661.237549	2277.237549	
44	2650.757324	2666.485107	2664.970459	2655.757324	2713.242676	2681.514893	2669.514893	2661.000000	2279.272217	
45	2648.742676	2665.247559	2664.000000	2654.495117	2713.752441	2680.495117	2669.247559	2659.495117	2276.990234	
46	2648.747803	2664.252197	2666.991455	2654.000000	2711.756348	2682.991455	2669.000000	2657.504395	2277.495605	
47	2648.256592	2666.230469	2667.256592	2654.743408	2708.769531	2684.000000	2669.743408	2658.487061	2278.000000	
48	2647.260498	2666.260498	2667.000000	2657.958008	2709.479004	2682.520996	2668.520996	2657.520996	2278.000000	
